epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6386981010437012,0.5710140466690063,0.001,0.6480082273483276,0.5158732533454895
1,0.6439098715782166,0.5323822498321533,0.001,0.6436530947685242,0.5185626149177551
2,0.6456663012504578,0.5238533020019531,0.001,0.646524965763092,0.5118430256843567
3,0.6452844738960266,0.520930290222168,0.001,0.6461803317070007,0.5134745240211487
4,0.6466590166091919,0.5185078382492065,0.001,0.6535324454307556,0.5052714943885803
5,0.6510118246078491,0.5158653855323792,0.001,0.6536473035812378,0.505732536315918
6,0.6543719172477722,0.515248715877533,0.001,0.6520390510559082,0.509967565536499
7,0.6515845656394958,0.5143609642982483,0.001,0.6430786848068237,0.5146263241767883
8,0.6555173993110657,0.5136775970458984,0.001,0.6598506569862366,0.5046245455741882
9,0.658877432346344,0.5118563175201416,0.001,0.658242404460907,0.5041729807853699
10,0.658839225769043,0.5120893716812134,0.001,0.6612291932106018,0.5071540474891663
11,0.6670485138893127,0.5080603957176208,0.001,0.6557151079177856,0.5053706169128418
12,0.6645284295082092,0.5086956024169922,0.001,0.6503158807754517,0.5092911720275879
13,0.6693776249885559,0.506137490272522,0.001,0.6459506154060364,0.5128081440925598
14,0.6715922355651855,0.5045968294143677,0.001,0.6514647006988525,0.5061137676239014
15,0.6768231987953186,0.5034590363502502,0.001,0.6474440097808838,0.5073099136352539
16,0.6781595945358276,0.5012257099151611,0.001,0.6551406979560852,0.5101379752159119
17,0.6794577836990356,0.4975455105304718,0.001,0.6512349247932434,0.5131153464317322
18,0.6930125951766968,0.4937121868133545,0.0005,0.6480183601379395,0.5204497575759888
19,0.7006872892379761,0.48846346139907837,0.0005,0.6468695998191833,0.5241090059280396
20,0.7081328630447388,0.4836680293083191,0.0005,0.6422745585441589,0.5260050296783447
21,0.7145093679428101,0.48183324933052063,0.0005,0.6510051488876343,0.5267701745033264
22,0.7184039950370789,0.47578299045562744,0.0005,0.6512349247932434,0.5273412466049194
23,0.7254295349121094,0.4729459881782532,0.0005,0.6433084607124329,0.5445092916488647
24,0.7277587056159973,0.46995383501052856,0.0005,0.6445720791816711,0.5384377837181091
